,words,tfidf,topic
0,way,0.064833276,0
1,need,0.057375966,0
2,mental,0.054828575,0
3,self,0.048971267,0
4,read,0.047926615,0
5,anxiety,0.047012404,0
6,health,0.042212166,0
7,issue,0.041931787,0
8,hard,0.040648555,0
9,kind,0.037160196,0
10,change,0.036651462,0
11,struggle,0.035232287,0
12,thank,0.035126287,0
13,experience,0.034583031,0
14,sure,0.032473841,0
15,believe,0.03228024,0
16,situation,0.030303882,0
17,mean,0.029734181,0
18,actually,0.028633317,0
19,different,0.027998008,0
20,therapist,0.027722932,0
21,therapy,0.026824603,0
22,learn,0.026135874,0
23,medication,0.026067376,0
24,etc,0.024787484,0
25,depressed,0.024244609,0
26,diagnose,0.024069129,0
27,hear,0.023056119,0
28,question,0.022952949,0
29,doctor,0.022176198,0
30,word,0.021611196,0
31,advice,0.021561185,0
32,continue,0.021348759,0
33,sense,0.020545014,0
34,suffer,0.020384901,0
35,sort,0.020162369,0
36,lack,0.019543728,0
37,begin,0.018952061,0
38,disorder,0.018858115,0
39,share,0.018742436,0
40,explain,0.018052144,0
41,speak,0.01802296,0
42,difficult,0.017836679,0
43,better,0.017779555,0
44,psychiatrist,0.017551149,0
45,fear,0.017491087,0
46,short,0.017157085,0
47,consider,0.016732626,0
48,low,0.016528159,0
49,control,0.01601169,0
50,brain,0.015851351,0
51,suicidal,0.01579088,0
52,result,0.015724282,0
53,deep,0.015494404,0
54,sound,0.015435948,0
55,form,0.015405135,0
56,appreciate,0.015067171,0
57,despite,0.014882746,0
58,severe,0.014350302,0
59,possible,0.01396036,0
0,come,0.071516365,1
1,find,0.070056434,1
2,love,0.067231181,1
3,relationship,0.066517813,1
4,lot,0.063358141,1
5,person,0.063214124,1
6,long,0.054855017,1
7,look,0.054768122,1
8,point,0.047122832,1
9,ask,0.046494177,1
10,problem,0.046147548,1
11,girl,0.045650441,1
12,lose,0.04315292,1
13,let,0.042284474,1
14,little,0.041923247,1
15,post,0.041437498,1
16,break,0.041370857,1
17,meet,0.04079996,1
18,reason,0.039153407,1
19,ago,0.038651845,1
20,maybe,0.037356574,1
21,understand,0.037305956,1
22,sorry,0.035698347,1
23,close,0.034669713,1
24,later,0.034086755,1
25,guy,0.033990629,1
26,date,0.032749025,1
27,grow,0.032125225,1
28,past,0.031799879,1
29,wrong,0.031691282,1
30,write,0.031331134,1
31,bit,0.031113247,1
32,great,0.029762555,1
33,pretty,0.028912297,1
34,story,0.027772035,1
35,guess,0.026345769,1
36,stuff,0.025928007,1
37,fact,0.025621548,1
38,idea,0.023491229,1
39,completely,0.022646879,1
40,decide,0.022485504,1
41,recently,0.022209482,1
42,far,0.022194262,1
43,couple,0.020849041,1
44,group,0.020788452,1
45,realize,0.020428186,1
46,nice,0.020076599,1
47,fight,0.019995621,1
48,eventually,0.019826909,1
49,girlfriend,0.019473628,1
50,trust,0.019078963,1
51,miss,0.01883347,1
52,hang,0.018801622,1
53,fun,0.018345378,1
54,ex,0.017599851,1
55,single,0.017414337,1
56,conversation,0.017369985,1
57,accept,0.01673959,1
58,blame,0.016338158,1
59,woman,0.016180987,1
0,job,0.095008971,2
1,live,0.069220303,2
2,family,0.068773798,2
3,home,0.068444463,2
