,words,tfidf,topic
0,job,0.10549930569624029,0
1,need,0.06689757729984572,0
2,find,0.05471635562836338,0
3,come,0.05399397414340354,0
4,school,0.05372488323460106,0
5,end,0.051663793593874935,0
6,pay,0.043676136808536534,0
7,leave,0.041477364370790804,0
8,new,0.03968680008938005,0
9,let,0.03413331905016678,0
10,able,0.03390659275431809,0
11,college,0.033173342396764255,0
12,break,0.03272452812924684,0
13,money,0.03232658590102764,0
14,place,0.031040167939399847,0
15,class,0.030985697884960046,0
16,situation,0.02748339268827366,0
17,student,0.02553534006456611,0
18,change,0.02461148315183537,0
19,plan,0.02443973584841719,0
20,decide,0.02378888721749448,0
21,learn,0.023633385053697612,0
22,small,0.023610647127010057,0
23,far,0.023375091223758863,0
24,wait,0.02203196352318672,0
25,online,0.020704388951296993,0
26,handle,0.019118141244480778,0
27,stress,0.018906709889842475,0
28,study,0.018853015305963446,0
29,graduate,0.018525557571539987,0
30,grade,0.01790587109582084,0
31,shut,0.01755027932712325,0
32,company,0.017310431310046503,0
33,semester,0.01671245798896408,0
34,apply,0.01571780992285128,0
35,offer,0.015451441801261645,0
36,instead,0.015366321134001883,0
37,course,0.015285597221394694,0
38,future,0.01522974079184282,0
39,contact,0.015027659436207924,0
40,university,0.014739925338911249,0
41,phone,0.014672052426962208,0
42,office,0.014149874019590199,0
43,fail,0.014000377714818104,0
44,bill,0.013960528693423983,0
45,send,0.01386742303454966,0
46,teacher,0.013704458128301894,0
47,interview,0.01358186173695113,0
48,miss,0.013464522682278284,0
49,business,0.013319227802161866,0
50,currently,0.013175602414572803,0
51,manager,0.013170860292887741,0
52,position,0.013125587449118218,0
53,cancel,0.013107591668391707,0
54,option,0.012953538074216836,0
55,set,0.01262324180847982,0
56,quit,0.012574430082683887,0
57,mistake,0.012546353507751963,0
58,service,0.012522572529261792,0
59,important,0.012463946466084544,0
0,friend,0.088009427332577,1
1,talk,0.0786660250940108,1
2,good,0.07524181541762218,1
3,tell,0.0729189857956217,1
4,life,0.07012531858486923,1
5,relationship,0.05443715528420501,1
6,way,0.05240762035514615,1
7,ask,0.05150782593800757,1
8,person,0.04944711722251785,1
9,love,0.047664137876490986,1
10,look,0.045058879121740086,1
11,care,0.04197579510977639,1
