words,topic 0,topic 1,topic 2 ,topic 3,topic 4,topic 5
19,,,,,0.033629725,
able,0.034910051,,,,,
advice,,,0.024723775,,,
ago,,,,0.04386077,,
ask,,0.049828844,,,,
asleep,,,,0.028170106,,
attack,,,,,,0.059384221
away,,,,0.044346395,,
bed,,,,0.038787341,,
believe,,0.025990627,,,,
bit,,,,0.034040527,,
blood,,,,,,0.025701462
body,,,,,,0.038791946
break,0.030771329,,,,,
breath,,,,,,0.033256934
breathing,,,,,,0.025810745
care,,0.041023645,,,,
case,,,,,0.038316124,
cause,,,,,,0.02871008
change,,,0.026449132,,,
check,,,,,0.020127831,
chest,,,,,,0.062368435
class,0.03321271,,,,,
close,,,,,0.033885281,
college,0.032033104,,,,,
come,0.055739841,,,,,
conversation,,0.025396143,,,,
coronavirus,,,,,0.029247457,
country,,,,,0.023355344,
couple,,,,0.021501106,,
covid,,,,,0.040945408,
cry,,,,0.028566737,,
dad,,,,,0.024970871,
deal,,,0.028892246,,,
decide,0.022735281,,,,,
diagnose,,,,,,0.020749767
die,,,,,0.033255386,
different,,,0.024107495,,,
doctor,,,,,,0.075168802
eat,,,,0.022865992,,
effect,,,,,,0.024494764
end,0.051788047,,,,,
etc,,,0.028334721,,,
experience,,,,,,0.047047061
fall,,,,0.038045272,,
family,,,,,0.064742984,
far,0.02361407,,,,,
fear,,,0.040938358,,,
feeling,,,,0.030314237,,
finally,0.021185894,,,,,
find,,,0.065634774,,,
friend,,0.086269497,,,,
girl,,0.028541431,,,,
good,,0.074583594,,,,
grocery,,,,,0.025345044,
happen,,,,0.050253205,,
hard,,,0.037626639,,,
head,,,,,,0.02529094
headache,,,,,,0.022609211
health,,,,,0.032127537,
heart,,,,,,0.058039984
high,,,,,0.023871201,
home,,,,,0.073488557,
hope,,,0.031753841,,,
hospital,,,,,0.024227105,
hour,,,,0.056302328,,
house,,,,,0.037052415,
issue,,,0.032957375,,,
job,0.105193507,,,,,
kind,,0.027301634,,,,
later,,,,0.031691135,,
learn,0.024496444,,,,,
leave,0.042517722,,,,,
let,0.033905743,,,,,
life,,0.06576079,,,,
little,,,,0.042136712,,
live,,,,,0.076422385,
long,,,0.049971543,,,
look,,0.045065745,,,,
lose,,,0.026738279,,,
lot,,,0.054357584,,,
love,,0.049591158,,,,
maybe,,,,0.027550252,,
mean,,0.031223086,,,,
medication,,,,,,0.035385191
mental,0.029489521,,,,,
mg,,,,,,0.039144816
mind,,,0.037595117,,,
minute,,,,0.026314054,,
mom,,,,,0.030681358,
money,0.03288894,,,,,
month,,,,,,0.042462226
morning,,,,0.022458343,,
mother,,,,,0.022750678,
need,0.070331762,,,,,
new,0.039464234,,,,,
news,,,,,0.025194038,
night,,,,0.06724237,,
normal,,,,,,0.02203723
old,,,0.0331515,,,
online,0.02000054,,,,,
pain,,,,,,0.057939495
pandemic,,,,,0.020002337,
panic,,,,,,0.050499061
parent,,,,,0.041179265,
past,,,,,,0.032434314
pay,0.043144052,,,,,
person,,0.051508833,,,,
physical,,,,,,0.026505425
place,0.029999563,,,,,
plan,0.023849018,,,,,
play,,0.024925519,,,,
point,,0.03793074,,,,
post,,,0.039422865,,,
prescribe,,,,,,0.035322959
problem,,,0.034050479,,,
psychiatrist,,,,,,0.027369721
quarantine,,,,,0.020721911,
read,,,0.030472773,,,
reason,,0.024908671,,,,
relationship,,0.053963673,,,,
right,,,,,0.037829204,
risk,,,,,0.031071168,
room,,,,0.020507829,,
run,,,0.026461985,,,
school,0.050596063,,,,,
self,,0.026319907,,,,
sick,,,,,0.02431721,
sit,,,,0.03411222,,
situation,,0.030250801,,,,
sleep,,,,0.046194698,,
small,0.022859511,,,,,
social,,0.036999606,,,,
sorry,,0.026688575,,,,
spend,,0.026558715,,,,
state,,,,,0.024607861,
stay,,,,,0.046898328,
stop,,,,0.023949614,,
store,,,,,0.027090267,
stress,0.018959074,,,,,
student,0.025161435,,,,,
sure,,,,0.026296768,,
symptom,,,,,,0.069450732
talk,,0.077004857,,,,
tell,,0.071476578,,,,
thank,,,0.028448088,,,
therapist,,,0.025430539,,,
therapy,,,0.027844671,,,
thought,,,0.045008865,,,
today,,,,0.021368165,,
turn,,,0.023246255,,,
understand,,0.034595448,,,,
use,,,0.045218177,,,
virus,,,,,0.057233405,
wait,0.020846206,,,,,
wake,,,,0.043144727,,
walk,,,,0.024382118,,
way,,0.053201995,,,,
week,,,,,0.042481678,
world,,,,,0.024748757,
worried,,,,,0.020573168,
worry,,,0.026900784,,,
write,,,0.029176315,,,
wrong,,0.028375908,,,,
