,words,tfidf,topic
0,way,0.07244862991304246,0
1,person,0.062166932097973304,0
2,need,0.05946215619397499,0
3,long,0.05598890631123382,0
4,read,0.053645592094789224,0
5,problem,0.04827358972811746,0
6,relationship,0.04718824330735877,0
7,self,0.046960081858277075,0
8,point,0.04655147182817554,0
9,hard,0.045699480867098186,0
10,feeling,0.04357918710125541,0
11,ask,0.043190144613871384,0
12,kind,0.04175553923919281,0
13,understand,0.041297739987164794,0
14,post,0.040963275126296134,0
15,maybe,0.03982699448122193,0
16,change,0.03634662504453301,0
17,past,0.035966611616027905,0
18,issue,0.03577435333515325,0
19,thought,0.03480868474065618,0
20,mean,0.03471823854800851,0
21,write,0.034111019074505505,0
22,sorry,0.033734743548247265,0
23,thank,0.03371488409155529,0
24,sure,0.03280303939744664,0
25,wrong,0.03274839093661722,0
26,believe,0.03252552545977554,0
27,actually,0.03200328250141832,0
28,different,0.031373402347343135,0
29,bit,0.028582818432230785,0
30,real,0.026963113466905827,0
31,word,0.026958558957714342,0
32,hope,0.026201691281465874,0
33,hear,0.026151253167606994,0
34,guess,0.025927005318135212,0
35,moment,0.02467624068233459,0
36,recently,0.024636017789268685,0
37,depressed,0.024579028611879546,0
38,sense,0.023141270135067876,0
39,explain,0.023041303534989187,0
40,fact,0.023039085664964595,0
41,truly,0.02192238586173124,0
42,question,0.021643805528025358,0
43,realize,0.021617661767704268,0
44,speak,0.020023938397767668,0
45,sort,0.019432899958495422,0
46,share,0.019390954524011125,0
47,begin,0.01890832905321078,0
48,act,0.018882417740393228,0
49,better,0.018706733183802445,0
50,fear,0.018429802838011055,0
51,deep,0.018209536499005887,0
52,type,0.01820802572526643,0
53,suffer,0.01764528542206986,0
54,trust,0.017512716824924775,0
55,true,0.017445250378714815,0
56,listen,0.017109404016888496,0
57,nice,0.017029069982868236,0
58,push,0.01666874285002488,0
59,attention,0.016356112469304473,0
0,lot,0.06309154644011039,1
1,high,0.04568534756636633,1
2,anxiety,0.04523267640450207,1
3,social,0.04236268683327071,1
4,new,0.04001797588877737,1
5,college,0.03860379072485698,1
6,experience,0.033629872193098154,1
7,meet,0.032732980856350236,1
8,pretty,0.029976039492127456,1
9,later,0.02890447466763994,1
10,learn,0.02816880191263948,1
11,great,0.027834811798870814,1
12,idea,0.026894690757016306,1
13,story,0.02627790715760654,1
14,guy,0.025140429158880397,1
15,etc,0.024234590982163125,1
16,date,0.024174910366896504,1
17,diagnose,0.022944527143097884,1
18,group,0.02286379214630242,1
19,therapy,0.022693437526125234,1
20,far,0.02245816530475229,1
21,therapist,0.022171577819818374,1
22,study,0.021867648849270917,1
23,course,0.02174831656152895,1
24,stuff,0.021586491891326217,1
25,advice,0.021488887596562974,1
26,medication,0.02131751572094696,1
27,continue,0.020580016410463736,1
28,20,0.0204997577426228,1
29,online,0.020198257064850827,1
30,doctor,0.019489687561478283,1
31,university,0.019034972907000295,1
32,major,0.018573373098660282,1
33,eventually,0.01854137213500825,1
34,basically,0.018392622005089395,1
35,short,0.018152486200059586,1
36,lack,0.017985872470569823,1
37,future,0.017664894185003773,1
38,disorder,0.01701339811168943,1
39,currently,0.01675874137266801,1
40,extremely,0.016539788467665167,1
41,consider,0.016476960735125067,1
42,interest,0.016458494467553816,1
43,develop,0.016009027988701914,1
44,appreciate,0.015055822812567591,1
45,term,0.014948521916694038,1
46,psychiatrist,0.014720618182400383,1
47,dr,0.014353566622250305,1
48,fun,0.013857181932939873,1
49,career,0.013793721168562102,1
50,skill,0.013577259125581593,1
51,tl,0.013310920306026375,1
52,summer,0.013157297488119576,1
53,especially,0.013120311053230109,1
54,severe,0.013040449292247415,1
55,manage,0.012882349863950064,1
56,hobby,0.012623358375419195,1
57,case,0.012524651964444853,1
58,offer,0.01198933810182387,1
59,effect,0.011906133085329151,1
