words,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5
able,,,0.030841404,,,
actually,0.028633317,,,,,
age,,,0.026422237,,,
ago,,0.038651845,,,,
anxiety,0.047012404,,,,,
anymore,,,,,,0.044569727
ask,,0.046494177,,,,
away,,,,,,0.050639363
basically,,,,0.017528475,,
bed,,,,,0.046705455,
believe,0.03228024,,,,,
big,,,,,0.026555048,
break,,0.041370857,,,,
bring,,,,,,0.029267174
brother,,,0.028731583,,,
car,,,0.028723583,,,
care,,,,,,0.059648429
career,,,,0.016970912,,
change,0.036651462,,,,,
child,,,0.026050151,,,
class,,,,0.058714381,,
close,,0.034669713,,,,
college,,,,0.061148622,,
course,,,,0.019800156,,
cry,,,,,,0.038730705
dad,,,0.04796964,,,
date,,0.032749025,,,,
degree,,,,0.021537677,,
depressed,0.024244609,,,,,
diagnose,0.024069129,,,,,
die,,,,,,0.042170923
different,0.027998008,,,,,
drive,,,,,0.02317615,
drop,,,,0.027949968,,
eat,,,,,0.04094996,
end,,,,,,0.056553258
enjoy,,,,,0.021754608,
etc,0.024787484,,,,,
experience,0.034583031,,,,,
face,,,,,0.026588484,
fail,,,,0.026423565,,
fall,,,,,0.032674978,
family,,,0.068773798,,,
father,,,0.037823462,,,
feeling,,,,,,0.04229399
find,,0.070056434,,,,
finish,,,,0.024121269,,
food,,,,,0.024942703,
fuck,,,,,,0.031019387
future,,,,0.02231916,,
game,,,,,0.035042224,
girl,,0.045650441,,,,
grade,,,,0.045200285,,
graduate,,,,0.031669921,,
guy,,0.033990629,,,,
hand,,,,,0.021319763,
happen,,,,,,0.040448888
happy,,,,,,0.046657757
hard,0.040648555,,,,,
hate,,,,,,0.037923278
head,,,,,,0.036343393
health,0.042212166,,,,,
high,,,,0.060896631,,
home,,,0.068444463,,,
hope,,,,,,0.029325137
hour,,,,,0.046387271,
house,,,0.04897415,,,
hurt,,,,,,0.028947415
issue,0.041931787,,,,,
job,,,0.095008971,,,
kid,,,0.036478708,,,
kind,0.037160196,,,,,
later,,0.034086755,,,,
learn,0.026135874,,,,,
leave,,,0.057621719,,,
let,,0.042284474,,,,
little,,0.041923247,,,,
live,,,0.069220303,,,
long,,0.054855017,,,,
look,,0.054768122,,,,
lose,,0.04315292,,,,
lot,,0.063358141,,,,
love,,0.067231181,,,,
maybe,,0.037356574,,,,
mean,0.029734181,,,,,
medication,0.026067376,,,,,
meet,,0.04079996,,,,
mental,0.054828575,,,,,
mention,,,,0.016953248,,
mind,,,,,,0.038501191
mom,,,0.051157713,,,
money,,,0.050037287,,,
month,,,0.054693974,,,
morning,,,,,0.024345983,
mother,,,0.041340438,,,
new,,,,0.035227377,,
night,,,,,0.040604596,
old,,,0.059470802,,,
online,,,,0.026479002,,
pain,,,,,,0.037413484
parent,,,0.061909423,,,
pay,,,0.049173374,,,
person,,0.063214124,,,,
phone,,,,,0.021855526,
place,,,0.036051233,,,
play,,,,,0.041403133,
point,,0.047122832,,,,
post,,0.041437498,,,,
probably,,,,,,0.029392574
problem,,0.046147548,,,,
read,0.047926615,,,,,
reason,,0.039153407,,,,
relationship,,0.066517813,,,,
right,,,,,,0.039370127
room,,,,,0.040003829,
school,,,,0.107760569,,
self,0.048971267,,,,,
semester,,,,0.024856878,,
shit,,,,,,0.042647692
sister,,,0.028496907,,,
sit,,,,,0.037690177,
situation,0.030303882,,,,,
sleep,,,,,0.048470722,
social,,,,0.030767937,,
sorry,,0.035698347,,,,
spend,,,,,0.036652505,
stay,,,,,0.030849698,
stop,,,,,,0.040012525
stress,,,,0.024408517,,
struggle,0.035232287,,,,,
student,,,,0.032593616,,
study,,,,0.034296157,,
summer,,,,0.016727151,,
sure,0.032473841,,,,,
teacher,,,,0.022127801,,
thank,0.035126287,,,,,
therapist,0.027722932,,,,,
therapy,0.026824603,,,,,
thought,,,,,,0.033818414
turn,,,0.029626266,,,
understand,,0.037305956,,,,
university,,,,0.026663383,,
use,,,,,,0.046391228
video,,,,,0.025372089,
wake,,,,,0.033461241,
walk,,,,,0.035563025,
watch,,,,,0.036241108,
weight,,,,,0.022221325,
wish,,,,,,0.027146149
world,,,,,,0.037432705
young,,,0.025572361,,,
